Detected 16 CPU cores
NO FACE AT 833
NO FACE AT 839
NO FACE AT 840
NO FACE AT 883
NO FACE AT 886
NO FACE AT 888
NO FACE AT 891
NO FACE AT 893
NO FACE AT 1062
MULTIPLE FACES AT 1081
NO FACE AT 1290
NO FACE AT 1291
NO FACE AT 1292
NO FACE AT 1293
NO FACE AT 1294
NO FACE AT 1295
NO FACE AT 1297
NO FACE AT 1298
NO FACE AT 1299
NO FACE AT 1301
NO FACE AT 1302
NO FACE AT 1303
NO FACE AT 1304
NO FACE AT 1305
NO FACE AT 1306
NO FACE AT 1307
NO FACE AT 1308
NO FACE AT 1309
NO FACE AT 1310
NO FACE AT 1311
NO FACE AT 1312
NO FACE AT 1316
NO FACE AT 1321
NO FACE AT 1349
NO FACE AT 1350
NO FACE AT 1351
NO FACE AT 1355
NO FACE AT 1356
NO FACE AT 1357
NO FACE AT 1358
NO FACE AT 1359
NO FACE AT 1360
NO FACE AT 1361
NO FACE AT 1362
NO FACE AT 1363
NO FACE AT 1364
NO FACE AT 1366
NO FACE AT 1367
NO FACE AT 1368
NO FACE AT 1369
NO FACE AT 1370
NO FACE AT 1371
NO FACE AT 1372
NO FACE AT 1373
NO FACE AT 1374
NO FACE AT 1375
NO FACE AT 1376
NO FACE AT 1377
NO FACE AT 1378
NO FACE AT 1379
NO FACE AT 1380
NO FACE AT 1381
NO FACE AT 1382
NO FACE AT 1383
NO FACE AT 1384
NO FACE AT 1385
NO FACE AT 1386
NO FACE AT 1387
NO FACE AT 1388
NO FACE AT 1389
NO FACE AT 1393
MULTIPLE FACES AT 1402
MULTIPLE FACES AT 1406
NO FACE AT 1410
NO FACE AT 1412
NO FACE AT 1413
NO FACE AT 1414
NO FACE AT 1415
NO FACE AT 1416
NO FACE AT 1417
NO FACE AT 1418
NO FACE AT 1419
NO FACE AT 1420
NO FACE AT 1421
NO FACE AT 1422
NO FACE AT 1423
NO FACE AT 1424
NO FACE AT 1425
NO FACE AT 1427
NO FACE AT 1428
NO FACE AT 1431
NO FACE AT 1432
NO FACE AT 1433
NO FACE AT 1434
NO FACE AT 1446
NO FACE AT 1468
NO FACE AT 1469
NO FACE AT 1471
NO FACE AT 1472
NO FACE AT 1473
NO FACE AT 1474
NO FACE AT 1475
NO FACE AT 1476
NO FACE AT 1477
NO FACE AT 1478
NO FACE AT 1479
NO FACE AT 1480
NO FACE AT 1481
NO FACE AT 1482
NO FACE AT 1483
NO FACE AT 1484
NO FACE AT 1495
NO FACE AT 1525
NO FACE AT 1526
NO FACE AT 1531
NO FACE AT 1532
NO FACE AT 1533
NO FACE AT 1534
NO FACE AT 1536
NO FACE AT 1537
NO FACE AT 1561
NO FACE AT 1563
NO FACE AT 1564
NO FACE AT 1565
NO FACE AT 1566
NO FACE AT 1567
NO FACE AT 1568
NO FACE AT 1569
NO FACE AT 1570
NO FACE AT 1571
NO FACE AT 1572
NO FACE AT 1573
NO FACE AT 1574
NO FACE AT 1575
NO FACE AT 1576
NO FACE AT 1577
NO FACE AT 1578
NO FACE AT 1579
NO FACE AT 1580
NO FACE AT 1581
NO FACE AT 1584
NO FACE AT 1585
NO FACE AT 1586
NO FACE AT 1587
MULTIPLE FACES AT 1594
NO FACE AT 1602
NO FACE AT 1603
NO FACE AT 1610
NO FACE AT 1612
NO FACE AT 1613
NO FACE AT 1614
NO FACE AT 1615
NO FACE AT 1616
NO FACE AT 1617
NO FACE AT 1618
NO FACE AT 1620
NO FACE AT 1621
NO FACE AT 1623
NO FACE AT 1624
NO FACE AT 1625
NO FACE AT 1626
NO FACE AT 1627
NO FACE AT 1628
NO FACE AT 1629
NO FACE AT 1631
NO FACE AT 1632
NO FACE AT 1635
NO FACE AT 1644
NO FACE AT 1645
NO FACE AT 1646
NO FACE AT 1647
NO FACE AT 1648
NO FACE AT 1649
NO FACE AT 1650
NO FACE AT 1651
NO FACE AT 1652
NO FACE AT 1655
NO FACE AT 1656
NO FACE AT 1657
NO FACE AT 1658
NO FACE AT 1659
NO FACE AT 1660
NO FACE AT 1661
NO FACE AT 1663
NO FACE AT 1664
NO FACE AT 1667
NO FACE AT 1668
NO FACE AT 1669
NO FACE AT 1670
NO FACE AT 1671
NO FACE AT 1672
NO FACE AT 1673
NO FACE AT 1674
NO FACE AT 1675
NO FACE AT 1676
NO FACE AT 1677
NO FACE AT 1678
NO FACE AT 1679
NO FACE AT 1680
NO FACE AT 1681
NO FACE AT 1682
NO FACE AT 1683
NO FACE AT 1684
NO FACE AT 1685
NO FACE AT 1686
